unique_id,record_id,update,entry_time,national_entry,country,country_name,admin1,admin1_name,locality,usa_county,intervention_group,intervention_name,date_of_update,status,status_simp,subpopulation,required,enforcement,size,duration,testing_population,details,url,source_document_url,entry_quality
3_screening_air,3,Update,2020-03-28 23:35:38,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,NA,symp_screening,Symptom screening when entering by air,2020-01-21,required,Strongly Implemented,geographic subpopulation,required,NA,NA,NA,NA,"Implemented in Shermemetyevo  Vnukovo airport (Moscow), in addition to two other airports. Screening of all passengers from airplanes arriving from China, though loose enough to include passengers from countries significantly affected by coronavirus (Vnukovo explicitly includes Thailand as of 23012020). ","https://www.reuters.com/article/us-china-health-pneumonia-russia/russia-steps-up-airport-screening-of-chinese-travelers-over-coronavirus-fears-idUSKBN1ZK1AG
https://www.svo.aero/ru/press_center/press_releases/sanitary-and-epidemiological-control-on-flights-from-china-to-sheremetyevo-is-strengthened
http://www.vnukovo.ru/at-the-airport/informations/v-mezhdunarodnom-aeroportu-vnukovo-usilen-sanitarno-karantinnyy-kontrol-na-vozdushnykh-sudakh-pribyvayushchikh-iz-knr-/
yes",https://www.dropbox.com/s/dm90237ad4jda4c/3_symp_screening.zip?dl=1,Verified
4_contact_tracing,4,Update,2020-03-29 00:48:24,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,NA,contact_tracing,Contact tracing,2020-02-21,complete contact tracing,Strongly Implemented,NA,NA,NA,NA,NA,NA,"Date of implementation is probably before this date (some time between 21 Jan and 21 February). Complete contact tracing of any presumed cases (eg one positive test, but not necessarily confirmed case); contacts are told to remain under quarantine. Facial recognition and other technology used to identify some contacts. ",https://mrprcbcw.hosts.jhmi.edu/redcap/surveys/?s=76zUtHQkpK,https://www.dropbox.com/s/2p9m8nov3g28rt3/4_contact_tracing.pdf?dl=1,Verified
4_testing_asymp,4,Update,2020-03-29 01:19:28,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,NA,testing_asymp,Testing of asymptomatic individuals,2020-02-21,some,Partially Implemented,NA,NA,NA,NA,NA,travel history;contact with case,"Implemented some time between 21 Jan and 21 Feb. All passengers arriving from China are tested upon arrival at the airport, even those that are asymptomatic. They are tested again at day 10 of selfisolation/quarantine.Contacts of cases (including presumed cases) may also be tested.",https://mrprcbcw.hosts.jhmi.edu/redcap/surveys/?s=DbMnYkz3Cn,https://www.dropbox.com/s/t04ss0v86a6z6vi/4_testing_asymp.pdf?dl=1,Verified
4_symp_scrn_land,4,Update,2020-03-29 00:42:52,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,NA,symp_screening,Symptom screening when entering by land,2020-02-21,required,Strongly Implemented,other subpopulation,required,NA,NA,NA,NA,"Policy probably started before the report date; screening at stations (not specified bus or train, but probably both), aiming to get people who recently arrived from China.",https://www.sobyanin.ru/koronavirus-mery-po-nedopuscheniyu-proniknoveniya-infektsii,https://www.dropbox.com/s/1c9ftldxr8ityv5/4_symp_screening.pdf?dl=1,Verified
4_symp_scrn_within,4,Update,2020-03-29 00:42:52,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,NA,symp_screening,Symptom screening at checkpoints within borders,2020-02-21,required,Strongly Implemented,other subpopulation,required,NA,NA,NA,NA,"Policy probably started before the report date; screening at stations for those that arrived from China to St Petersburg, and then traveled from St Petersburg to Moscow. ",https://www.sobyanin.ru/koronavirus-mery-po-nedopuscheniyu-proniknoveniya-infektsii,https://www.dropbox.com/s/1c9ftldxr8ityv5/4_symp_screening.pdf?dl=1,Verified
7_nursery_school,7,Update,2020-03-29 18:15:19,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,NA,school_closed,Nursery school closures,2020-03-20,partially closed,Partially Implemented,other subpopulation,required,NA,NA,NA,NA,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.",https://www.gov.uk/coronavirus,https://www.dropbox.com/s/jhhjvqlgfbdtzdq/7_school_closed.zip?dl=1,Verified
7_primary_school,7,Update,2020-03-29 18:15:19,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,NA,school_closed,Primary school closures,2020-03-20,partially closed,Partially Implemented,other subpopulation,required,NA,NA,NA,NA,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.",https://www.gov.uk/coronavirus,https://www.dropbox.com/s/jhhjvqlgfbdtzdq/7_school_closed.zip?dl=1,Verified
7_sec_school,7,Update,2020-03-29 18:15:19,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,NA,school_closed,Secondary school closures,2020-03-20,partially closed,Partially Implemented,other subpopulation,required,NA,NA,NA,NA,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.",https://www.gov.uk/coronavirus,https://www.dropbox.com/s/jhhjvqlgfbdtzdq/7_school_closed.zip?dl=1,Verified
7_post_school,7,Update,2020-03-29 18:15:19,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,NA,school_closed,Post-secondary school closures,2020-03-20,partially closed,Partially Implemented,other subpopulation,required,NA,NA,NA,NA,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.",https://www.gov.uk/coronavirus,https://www.dropbox.com/s/jhhjvqlgfbdtzdq/7_school_closed.zip?dl=1,Verified
7_confinement,7,Update,2020-03-29 17:55:54,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,NA,household_confined,Household confinement,2020-03-23,fully restricted,Strongly Implemented,entire population,required,Yes,NA,NA,NA,NA,https://www.gov.uk/government/publications/full-guidance-on-staying-at-home-and-away-from-others,https://www.dropbox.com/s/ovt6nuj1do7t04d/7_household_confined.pdf?dl=1,Verified
7_offices,7,Update,2020-03-29 19:41:49,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,NA,office_closed,Office closures,2020-03-26,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,"businesses and workplaces should encourage their employees to work at home, wherever possible. With the exception of some nonessential shops and public venues, we are not asking any other businesses to close  indeed it is important for business to carry on.",https://www.gov.uk/government/publications/guidance-to-employers-and-businesses-about-covid-19/guidance-for-employers-and-businesses-on-coronavirus-covid-19,https://www.dropbox.com/s/rf2sl6hob1vxan6/7_office_closed.pdf?dl=1,Verified
